Date,12/31/03,12/31/03
Time,16:00:00,16:00:00
Y_Unit_Label,Acceleration (g),Acceleration (g)
X_Dimension,Time (s),Time (s)
X0,0.00E+00,0.00E+00
Delta_X,0.000488,0.000488
***End_of_Header***,,
X_Value,tapping near accel - sink cntr - Acceleration - platform,tapping near accel - sink cntr - Acceleration - table
0.296875,-0.025438,-0.001792
0.297363,-0.020622,-0.001904
0.297852,-0.015403,-0.002126
0.29834,-0.010434,-0.002514
0.298828,-0.004443,-0.002635
0.299316,0.00109,-0.002554
0.299805,0.006409,-0.002462
0.300293,0.011795,-0.002292
0.300781,0.016972,-0.002333
0.30127,0.022561,-0.002225
0.301758,0.026787,-0.002205
0.302246,0.030187,-0.002238
0.302734,0.033366,-0.002174
0.303223,0.036574,-0.002208
0.303711,0.040238,-0.001964
0.304199,0.042261,-0.001796
0.304687,0.044577,-0.001389
0.305176,0.046676,-0.000986
0.305664,0.04765,-0.000675
0.306152,0.047797,-0.000358
0.306641,0.048213,-0.000162
0.307129,0.04695,-4.87E-05
0.307617,0.044973,0.000187
0.308105,0.0427,0.000376
0.308594,0.039245,0.000839
0.309082,0.036373,0.001212
0.30957,0.032663,0.001513
0.310059,0.028645,0.001578
0.310547,0.024486,0.001846
0.311035,0.019674,0.001963
0.311523,0.014332,0.001816
0.312012,0.009609,0.001846
0.3125,0.004787,0.002017
0.312988,-0.000668,0.002095
0.313477,-0.005959,0.002187
0.313965,-0.010894,0.002297
0.314453,-0.016413,0.002444
0.314941,-0.021472,0.002505
0.31543,-0.025159,0.002585
0.315918,-0.029205,0.002566
0.316406,-0.032563,0.002627
0.316895,-0.03527,0.002784
0.317383,-0.038072,0.002815
0.317871,-0.04057,0.003023
0.318359,-0.042954,0.0033
0.318848,-0.043737,0.003377
0.319336,-0.044952,0.003129
0.319824,-0.046017,0.002895
0.320312,-0.045206,0.002648
0.320801,-0.044215,0.002351
0.321289,-0.042088,0.002064
0.321777,-0.039715,0.001938
0.322266,-0.037016,0.001898
0.322754,-0.033685,0.001712
0.323242,-0.029691,0.001537
0.32373,-0.025379,0.001551
0.324219,-0.020667,0.00149
0.324707,-0.016782,0.001399
0.325195,-0.012153,0.001394
0.325684,-0.007031,0.001182
0.326172,-0.002557,0.00105
0.32666,0.002466,0.000957
0.327148,0.007162,0.000695
0.327637,0.011506,0.000604
0.328125,0.016325,0.000324
0.328613,0.021806,0.000129
0.329102,0.026418,6.45E-05
0.32959,0.030122,-0.000241
0.330078,0.034292,-0.000232
0.330566,0.037712,-0.000255
0.331055,0.040354,-0.000296
0.331543,0.042699,-0.000197
0.332031,0.045032,0.000183
0.33252,0.046313,0.000494
0.333008,0.047014,0.001118
0.333496,0.047445,0.00136
0.333984,0.046985,0.001801
0.334473,0.045981,0.002001
0.334961,0.044347,0.00199
0.335449,0.041919,0.002182
0.335937,0.038379,0.00218
0.336426,0.035975,0.002287
0.336914,0.03249,0.002538
0.337402,0.028555,0.002809
0.337891,0.024954,0.002826
0.338379,0.021068,0.00317
0.338867,0.016479,0.003214
0.339355,0.011881,0.003309
0.339844,0.007582,0.003108
0.340332,0.003546,0.003136
0.34082,-0.000907,0.003249
0.341309,-0.006056,0.003139
0.341797,-0.011018,0.003135
0.342285,-0.015024,0.003152
0.342773,-0.019596,0.003023
0.343262,-0.023649,0.002742
0.34375,-0.027475,0.002344
0.344238,-0.031197,0.002105
0.344727,-0.03388,0.001545
0.345215,-0.03619,0.001318
0.345703,-0.038031,0.000922
0.346191,-0.040139,0.000765
0.34668,-0.04157,0.000505
0.347168,-0.041458,0.000453
0.347656,-0.041893,0.000274
0.348145,-0.041565,0.000121
0.348633,-0.04029,-8.69E-05
0.349121,-0.038033,-0.000151
0.349609,-0.035711,-0.000126
0.350098,-0.032713,-0.000236
0.350586,-0.031134,-0.000374
0.351074,-0.028252,-0.000531
0.351562,-0.024326,-0.000842
0.352051,-0.020894,-0.000855
0.352539,-0.017302,-0.001245
0.353027,-0.01392,-0.001374
0.353516,-0.009796,-0.001651
0.354004,-0.00523,-0.001885
0.354492,-0.000893,-0.002129
0.35498,0.003368,-0.002437
0.355469,0.00714,-0.002396
0.355957,0.011754,-0.002609
0.356445,0.015494,-0.0027
0.356934,0.019023,-0.002814
0.357422,0.023164,-0.00287
0.35791,0.026091,-0.002837
0.358398,0.028082,-0.002886
0.358887,0.031173,-0.002605
0.359375,0.032597,-0.002341
0.359863,0.034192,-0.001885
0.360352,0.035821,-0.001711
0.36084,0.036494,-0.00129
0.361328,0.036379,-0.00094
0.361816,0.03633,-0.000887
0.362305,0.035404,-0.000609
0.362793,0.033946,-0.000496
0.363281,0.031798,-0.000384
0.36377,0.031003,-0.000156
0.364258,0.028773,-2.62E-05
0.364746,0.025922,0.000187
0.365234,0.023441,0.000481
0.365723,0.019529,0.000511
0.366211,0.016339,0.000658
0.366699,0.012885,0.000803
0.367187,0.009142,0.0009
0.367676,0.005507,0.000978
0.368164,0.001996,0.001108
0.368652,-0.002815,0.00113
0.369141,-0.006101,0.001186
0.369629,-0.010102,0.001102
0.370117,-0.013842,0.00096
0.370605,-0.017175,0.000969
0.371094,-0.020662,0.000909
0.371582,-0.024488,0.000602
0.37207,-0.026558,0.000647
0.372559,-0.028751,0.000507
0.373047,-0.030362,0.000395
0.373535,-0.032686,0.000257
0.374023,-0.034454,0.000272
0.374512,-0.034962,0.00029
0.375,-0.035346,0.00022
0.375488,-0.034875,0.000265
0.375977,-0.034671,0.000217
0.376465,-0.034293,8.52E-05
0.376953,-0.033732,-0.000157
0.377441,-0.031818,-0.000435
0.37793,-0.031115,-0.000797
0.378418,-0.028301,-0.001105
0.378906,-0.026524,-0.001498
0.379395,-0.023995,-0.001696
0.379883,-0.021332,-0.001983
0.380371,-0.01728,-0.002118
0.380859,-0.013211,-0.002282
0.381348,-0.010326,-0.00223
0.381836,-0.006575,-0.002256
0.382324,-0.002969,-0.002171
0.382812,0.000711,-0.002123
0.383301,0.004526,-0.001977
0.383789,0.008492,-0.00181
0.384277,0.011681,-0.00174
0.384766,0.015115,-0.001743
0.385254,0.017388,-0.001573
0.385742,0.020316,-0.001545
0.38623,0.023561,-0.001441
0.386719,0.025701,-0.001121
0.387207,0.027748,-0.000919
0.387695,0.028701,-0.000887
0.388184,0.030137,-0.000662
0.388672,0.031384,-0.000332
0.38916,0.032468,-5.06E-05
0.389648,0.032535,0.000288
0.390137,0.03203,0.0007
0.390625,0.03139,0.001036
0.391113,0.031266,0.001409
0.391602,0.030066,0.001396
0.39209,0.02854,0.00154
0.392578,0.02645,0.001453
0.393066,0.02373,0.001377
0.393555,0.021448,0.001424
0.394043,0.019146,0.001196
0.394531,0.015492,0.001328
0.39502,0.012115,0.001268
0.395508,0.009234,0.00123
0.395996,0.005959,0.00113
0.396484,0.003025,0.001011
0.396973,-0.000898,0.000994
0.397461,-0.004669,0.000907
0.397949,-0.007586,0.000949
0.398437,-0.010744,0.001152
0.398926,-0.014274,0.001179
0.399414,-0.017224,0.001259
0.399902,-0.020019,0.001356
0.400391,-0.022547,0.001459
0.400879,-0.024482,0.001392
0.401367,-0.026833,0.001572
0.401855,-0.028823,0.001713
